feature,kruskal_statistic,p_value,significant_at_0_05,epsilon_squared,effect_size_classification,available_observations
ca,87.1235611382388,5.374296375205373e-18,True,0.27343276690210133,large,309
oldpeak,164.94483918263546,1.2712362389177165e-34,True,0.18868093690813068,large,858
thalch,145.59335437850544,1.7899528999431926e-30,True,0.16464343532384354,large,865
age,116.04638079285563,3.7313953779882895e-24,True,0.1224550609757985,medium,920
trestbps,15.323093130725226,0.004075942496657845,True,0.013243383778625996,small,860
chol,11.92986335366472,0.017880511913302255,True,0.011121827985504516,small,718
