model_name,kernel,dataset_mode,class_weight,C,gamma,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_macro_precision_mean,cv_macro_recall_mean,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,elapsed_seconds
svm_linear_with_dataset_balanced,linear,with_dataset,balanced,1.0,scale,0.5435741864313293,0.046700412443900045,0.3937787614422361,0.4016196562743877,0.3937787614422361,0.3875508013353191,0.04709399786380496,0.5645409563211382,0.39349020000000223
svm_rbf_with_dataset_balanced,rbf,with_dataset,balanced,1.0,scale,0.5530704173561316,0.038683638340712326,0.39735333066386425,0.39310362123734716,0.39735333066386425,0.3856735223019861,0.027716073996713952,0.5702142330578367,0.7672229000000073
svm_rbf_without_dataset_balanced,rbf,without_dataset,balanced,1.0,scale,0.5462401176686891,0.029484891717182084,0.38399111118399765,0.3794729968224087,0.38399111118399765,0.37463956809293386,0.023293363984543628,0.561995727592927,0.6852274000000023
svm_linear_without_dataset_balanced,linear,without_dataset,balanced,1.0,scale,0.5339952197095055,0.024353594643482107,0.3768556447352617,0.38280493014308525,0.3768556447352617,0.371646321251114,0.0228441283304769,0.5519488325357568,0.6428726999999981
svm_linear_with_dataset_none,linear,with_dataset,none,1.0,scale,0.5761445118587976,0.03886727797020214,0.3657728925581183,0.3686722758150003,0.3657728925581183,0.36192035134743983,0.05093859842463333,0.5532867875918605,1.0775962000000163
svm_rbf_with_dataset_none,rbf,with_dataset,none,1.0,scale,0.5856407427835999,0.01766079543519526,0.3578034186515719,0.38727770339949025,0.3578034186515719,0.3484894774546446,0.014320021465899817,0.5481029207153686,0.7051597999999899
svm_linear_without_dataset_none,linear,without_dataset,none,1.0,scale,0.5707482993197279,0.05128728387747148,0.3529493737756392,0.35260439777918823,0.3529493737756392,0.34669582834811974,0.05539962795007236,0.5427546023011797,0.7992479999999773
svm_rbf_without_dataset_none,rbf,without_dataset,none,1.0,scale,0.5774682846111417,0.010753830599336265,0.34420710768179985,0.3554735176541045,0.34420710768179985,0.331017054771256,0.020369314258324858,0.535463861420961,0.7264121000000046
