model_name,n_neighbors,dataset_mode,weights,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_macro_precision_mean,cv_macro_recall_mean,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,elapsed_seconds
knn_k5_with_dataset,5,with_dataset,uniform,0.5693417907703623,0.021110864619766554,0.3627678043191039,0.3895571943837409,0.3627678043191039,0.36129917625198893,0.030465877611810452,0.5440642259310919,1.3712193000001207
knn_k3_with_dataset,3,with_dataset,uniform,0.5584758227615371,0.033661766087471616,0.34081640991627316,0.33982156094974886,0.34081640991627316,0.33312672873354987,0.03468732021638872,0.5250476975458114,2.0809069000001728
knn_k5_without_dataset,5,without_dataset,uniform,0.5639363853649568,0.0352579921811739,0.3385455280393721,0.35331790028127436,0.3385455280393721,0.3319266915851301,0.030699853318925115,0.5317972344653521,1.6260055000002467
knn_k7_without_dataset,7,without_dataset,uniform,0.568018018018018,0.03652265056509929,0.33596857618745446,0.36934726598603707,0.33596857618745446,0.3312573562601494,0.036179272758871665,0.5298116890522321,2.2454603000001043
knn_k7_with_dataset,7,with_dataset,uniform,0.5598915241772385,0.04556522815110938,0.33436043573389673,0.34309193193769955,0.33436043573389673,0.32857356943079663,0.03131705192609903,0.5293224796562942,0.4952336000001196
knn_k3_without_dataset,3,without_dataset,uniform,0.5435282220996507,0.03590303340695117,0.3213658231113772,0.33983858600454575,0.3213658231113772,0.3157257180448043,0.043529839221617114,0.505876627383452,0.4223895000000084
