model_name,algorithm,model_detail,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,training_seconds,prediction_seconds,class_4_recall
knn_k5_with_dataset,KNN,k=5 | dataset=with_dataset,0.592391304347826,0.3997388253715911,0.5664654708958506,0.3997388253715911,0.4172225827823226,0.5781712272937731,0.0614319999999963,0.1221524999999985,0.1666666666666666
svm_rbf_with_dataset_balanced,RBF SVM,kernel=rbf | dataset=with_dataset | class_weight=balanced,0.5380434782608695,0.4053924293224799,0.3997703558713377,0.4053924293224799,0.3918103110401922,0.5656555097367787,0.082855099999989,0.0782117999999911,0.1666666666666666
optimized_svm_median_standard,Optimized SVM,imputation=median | scaler=standard | dataset=with_dataset,0.5054347826086957,0.44534816311162373,0.39096137110970874,0.44534816311162373,0.3818338103675435,0.5364397939370236,0.10061550000000352,0.02031750000003285,0.6666666666666666
svm_linear_with_dataset_balanced,Linear SVM,kernel=linear | dataset=with_dataset | class_weight=balanced,0.5054347826086957,0.4453481631116237,0.3909613711097087,0.4453481631116237,0.3818338103675435,0.5364397939370236,0.0948268000000212,0.0237293000000136,0.6666666666666666
decision_tree_depth_5_with_dataset_none,Decision Tree,depth=5 | dataset=with_dataset | class_weight=none,0.5597826086956522,0.3431577626239384,0.296435709526982,0.3431577626239384,0.3154636236698926,0.5285503478219001,0.0542530999999826,0.0414762999999993,0.0
