report_row,precision,recall,f1-score,support
class_0,0.810126582278481,0.7804878048780488,0.7950310559006211,82.0
class_1,0.4864864864864865,0.6792452830188679,0.5669291338582677,53.0
class_2,0.2857142857142857,0.18181818181818182,0.2222222222222222,22.0
class_3,0.25,0.19047619047619047,0.21621621621621623,21.0
class_4,1.0,0.16666666666666666,0.2857142857142857,6.0
accuracy,0.592391304347826,0.592391304347826,0.592391304347826,0.592391304347826
macro avg,0.5664654708958506,0.39973882537159117,0.4172225827823226,184.0
weighted avg,0.5964667272626822,0.592391304347826,0.5781712272937731,184.0
