report_row,precision,recall,f1-score,support
class_0,0.8676470588235294,0.7195121951219512,0.7866666666666666,82.0
class_1,0.5714285714285714,0.37735849056603776,0.45454545454545453,53.0
class_2,0.18181818181818182,0.2727272727272727,0.21818181818181817,22.0
class_3,0.16,0.19047619047619047,0.17391304347826086,21.0
class_4,0.17391304347826086,0.6666666666666666,0.27586206896551724,6.0
accuracy,0.5054347826086957,0.5054347826086957,0.5054347826086957,0.5054347826086957
macro avg,0.39096137110970874,0.44534816311162373,0.3818338103675435,184.0
weighted avg,0.5969361487506155,0.5054347826086957,0.5364397939370236,184.0
