experiment_name,algorithm,dataset_mode,numeric_imputation_strategy,scaler_name,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_macro_precision_mean,cv_macro_recall_mean,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,elapsed_seconds
svm_median_standard,svm,with_dataset,median,standard,0.5435741864313293,0.3937787614422361,0.4016196562743877,0.3937787614422361,0.3875508013353191,0.04709399786380496,0.5645409563211382,0.6614401999999586
svm_mean_standard,svm,with_dataset,mean,standard,0.539492553778268,0.3999913860269537,0.39577303481971676,0.3999913860269537,0.3851401748133429,0.05216173809204655,0.558140906830714,1.0215147000000115
svm_mean_minmax,svm,with_dataset,mean,minmax,0.5245173745173746,0.39514531584846224,0.39913687724212565,0.39514531584846224,0.3793561217178711,0.038419835544405576,0.5532976092673764,0.6911804000000075
svm_median_minmax,svm,with_dataset,median,minmax,0.5217962860820003,0.3827923746719916,0.39491198695316215,0.3827923746719916,0.3738292781910275,0.03257405287962755,0.5513997590702064,0.8740942000000018
knn_median_standard,knn,with_dataset,median,standard,0.5693417907703623,0.3627678043191039,0.3895571943837409,0.3627678043191039,0.36129917625198893,0.030465877611810452,0.5440642259310919,0.5488897000000179
knn_mean_standard,knn,with_dataset,mean,standard,0.5639088067659496,0.35651630479263857,0.38600058382637237,0.35651630479263857,0.3563181289259827,0.037075804842918676,0.539302403779659,0.933351899999991
knn_mean_minmax,knn,with_dataset,mean,minmax,0.5598455598455597,0.3410453817348482,0.3421359345750324,0.3410453817348482,0.33327789023770493,0.018995103749150522,0.5362759411233841,0.5882828999999674
knn_median_minmax,knn,with_dataset,median,minmax,0.5571244714101857,0.33918491661856914,0.33957792634288253,0.33918491661856914,0.3312795312964569,0.022191779176758027,0.5341551977596396,0.5263532999999825
