feature,cramers_v,chi_square,p_value,degrees_of_freedom,significant_at_0_05
exang,0.32142384104665045,197.69144778635993,1.95801609362292e-38,8,True
cp,0.30744341977816947,272.0406584586232,3.4048663230325624e-51,12,True
sex,0.301835608952719,87.72950473296471,3.996551117702751e-18,4,True
dataset,0.29842024781128107,257.001512016278,4.7344983780753835e-48,12,True
slope,0.23507445292098952,164.03277213890505,7.907136980149763e-29,12,True
thal,0.21213666461444033,135.8130212229917,4.184448968914207e-23,12,True
ca,0.19328501397952094,152.9004898469891,2.0912040176129213e-24,16,True
fbs,0.17438768139035327,63.84328518877516,8.168169187279188e-11,8,True
restecg,0.10830302171110055,44.280919752817,1.3677032731119623e-05,12,True
